date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:37	94451/94451	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:31%20GMT	https://mapus.io/about-mapus/about-mapus-digitalization-our-way/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/about-mapus/about-mapus-digitalization-our-way/index.html	(from https://mapus.io/)
16:21:37	87743/87743	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:32%20GMT	https://mapus.io/about-mapus/about-mapus-team/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/about-mapus/about-mapus-team/index.html	(from https://mapus.io/)
16:21:39	107177/107177	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:33%20GMT	https://mapus.io/solutions/solutions-hr/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/solutions/solutions-hr/index.html	(from https://mapus.io/)
16:21:40	104847/104847	---M--	200	added ('OK')	image/png	etag:%221998f-5bfeeead33513%22	https://mapus.io/wp-content/uploads/elementor/thumbs/Skaermbillede-2021-03-08-kl.-14.51.13-p3x2m71g0qiv3miojwa1m870ptzmgo6c39qrogtgm4.png	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/uploads/elementor/thumbs/Skaermbillede-2021-03-08-kl.-14.51.13-p3x2m71g0qiv3miojwa1m870ptzmgo6c39qrogtgm4.png	(from https://mapus.io/)
16:21:40	103865/103865	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:34%20GMT	https://mapus.io/solutions/solutions-management-digital-leadership/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/solutions/solutions-management-digital-leadership/index.html	(from https://mapus.io/)
16:21:41	102084/102084	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:35%20GMT	https://mapus.io/solutions/solutions-digitalization-consultants/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/solutions/solutions-digitalization-consultants/index.html	(from https://mapus.io/)
16:21:43	107027/107027	---M--	200	added ('OK')	image/png	etag:%221a213-5bfeeebb16e7f%22	https://mapus.io/wp-content/uploads/elementor/thumbs/Skaermbillede-2021-03-08-kl.-14.42.54-p3x295zzaeos67fzmrj7k0k0ak7grpg9ys7h7e4wv0.png	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/uploads/elementor/thumbs/Skaermbillede-2021-03-08-kl.-14.42.54-p3x295zzaeos67fzmrj7k0k0ak7grpg9ys7h7e4wv0.png	(from https://mapus.io/)
16:21:43	105654/105654	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:37%20GMT	https://mapus.io/solutions/solutions-digital-education/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/solutions/solutions-digital-education/index.html	(from https://mapus.io/)
16:21:43	102217/102217	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:37%20GMT	https://mapus.io/solutions/solutions-consultancy/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/solutions/solutions-consultancy/index.html	(from https://mapus.io/)
16:21:44	101578/101578	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:39%20GMT	https://mapus.io/solutions/solutions-public-administration-service/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/solutions/solutions-public-administration-service/index.html	(from https://mapus.io/)
